StockCode,Description,TotalQuantitySold,TotalRevenue,NumberOfOrders,AvgQuantityPerOrder,RevenueShare,CumulativeRevenueShare,ABC_Category,DemandLevel,ReorderRecommendation,CappedAvgQuantityPerOrder,EstimatedReorderQty
22423,REGENCY CAKESTAND 3 TIER,24124,277656.25,3317,7.272836900813989,0.01623874737935838,0.01623874737935838,A,High Demand,High Priority Restock,7.272836900813989,15
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,247048.01,4888,18.771890343698853,0.014448622082028418,0.030687369461386796,A,High Demand,High Priority Restock,18.771890343698853,38
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,80995.0,0.00985295766078219,0.040540327122168984,A,High Demand,High Priority Restock,41.04028856825748,82
85099B,JUMBO BAG RED RETROSPOT,74224,134307.44,2612,28.416539050535988,0.007854981075802663,0.04839530819797165,A,High Demand,High Priority Restock,28.416539050535988,57
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,124351.86,2652,29.5,0.00727272820508575,0.0556680364030574,A,High Demand,High Priority Restock,29.5,59
47566,PARTY BUNTING,23460,103283.38,2077,11.295137217140105,0.006040536513427217,0.061708572916484614,A,High Demand,High Priority Restock,11.295137217140105,23
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73000000001,195,399.5692307692308,0.004761663787231258,0.06647023670371587,A,High Demand,High Priority Restock,41.04028856825748,82
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,76598.18000000001,1691,16.782968657599053,0.004479850515659639,0.0709500872193755,A,High Demand,High Priority Restock,16.782968657599053,34
79321,CHILLI LIGHTS,14843,69084.3,922,16.098698481561822,0.004040400659375786,0.07499048787875129,A,High Demand,High Priority Restock,16.098698481561822,32
85099F,JUMBO BAG STRAWBERRY,35842,64127.77,1514,23.673712021136062,0.003750517616771086,0.07874100549552238,A,High Demand,High Priority Restock,23.673712021136062,47
21137,BLACK RECORD COVER FRAME,18417,63092.12,539,34.16883116883117,0.00368994754596075,0.08243095304148312,A,High Demand,High Priority Restock,34.16883116883117,68
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,55880.17,525,54.48761904761905,0.0032681560892131936,0.08569910913069631,A,High Demand,High Priority Restock,41.04028856825748,82
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,54525.36,1048,9.23473282442748,0.0031889199209762875,0.0888880290516726,A,High Demand,High Priority Restock,9.23473282442748,18
21621,VINTAGE UNION JACK BUNTING,6497,54432.62,1121,5.795718108831401,0.0031834960148623007,0.0920715250665349,A,High Demand,High Priority Restock,5.795718108831401,12
15056N,EDWARDIAN PARASOL NATURAL,10948,54332.61,863,12.685979142526072,0.0031776469222328002,0.0952491719887677,A,High Demand,High Priority Restock,12.685979142526072,25
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,52188.18,1449,19.944099378881987,0.003052229766873548,0.09830140175564125,A,High Demand,High Priority Restock,19.944099378881987,40
